"fips","pre_covid_cases","post_covid_cases","pre_week_diff"
"12059",45,106,-3
"28051",24,25,-14
"39075",38,353,14
"29087",8,25,2
"31089",51,105,9
"15003",1328,775,-8
"48221",100,134,-2
"41027",13,18,-5
"31091",6,4,6
"51670",30,59,0
"21107",65,182,15
"48223",72,206,-18
"72067",32,31,-6
"45051",427,847,3
"05059",111,154,5
"56017",7,14,-5
"26061",325,138,23
"01069",368,683,12
"13153",218,320,-58
"27055",31,75,5
"47083",83,56,7
"48225",14,34,-10
"05061",35,76,9
"18067",94,255,8
"19089",17,51,-1
"24027",277,396,-3
"29089",23,40,3
"31093",23,40,-11
"48227",382,209,-90
"29091",226,270,-10
"27057",67,205,9
"34017",310,1826,60
"48229",7,43,7
"08055",12,6,-2
"40063",31,60,-13
"46065",280,173,-60
"72069",174,126,44
"06023",31,27,13
"19091",28,107,-2
"32013",11,28,5
"28053",9,74,-5
"47085",55,84,-5
"48231",131,224,3
"34019",59,132,13
"42061",24,365,12
"18069",51,160,13
"26063",20,33,-4
"39077",71,83,29
"46067",40,64,14
"48233",48,49,8
"37095",2,1,2
"46069",12,14,-8
"22045",82,50,-6
"22047",17,53,3
"19093",59,59,-9
"16049",132,93,-84
"06025",473,628,27
"05063",186,126,8
"12061",243,387,7
"42063",169,242,-31
"26065",720,617,-230
"06027",12,28,10
"26067",163,277,-107
"26069",52,54,-14
"19095",57,91,7
"55049",54,174,-4
"37097",510,415,274
"48235",0,0,0
"26071",150,139,28
"29093",8,23,-10
"49021",58,121,12
"55051",6,78,4
"17075",27,100,-9
"13155",32,15,2
"72071",42,60,8
"26073",92,223,-10
"27059",105,159,1
"53029",29,39,-11
"51093",81,62,7
"28055",4,1,0
"27061",102,168,12
"28057",130,128,14
"05065",115,225,-13
"48237",11,6,7
"01071",169,339,-27
"05067",92,221,22
"08057",0,0,0
"12063",189,125,-59
"13157",204,224,16
"17077",102,227,-46
"18071",54,259,20
"19097",91,214,9
"20085",22,66,4
"21109",41,70,-1
"22049",76,82,-16
"26075",181,473,3
"27063",42,43,-8
"28059",259,659,51
"29095",765,1303,-281
"37099",136,281,108
"39079",62,138,6
"40065",123,163,5
"41029",196,417,2
"46071",19,60,-5
"47087",44,71,-2
"48239",84,21,-82
"54035",36,65,2
"55053",63,311,19
"51095",52,55,-16
"13159",16,15,6
"17079",28,43,-8
"18073",31,271,3
"19099",176,238,-14
"28061",52,45,-8
"29097",64,432,-288
"45053",70,63,8
"48241",34,12,-14
"18075",36,132,0
"72073",14,19,2
"13161",37,53,-5
"48243",0,6,0
"01073",1690,2058,140
"05069",770,366,18
"08059",651,2016,39
"12065",24,66,-4
"13163",49,27,5
"16051",188,207,36
"17081",106,133,32
"18077",20,102,0
"19101",12,82,-2
"20087",31,51,-3
"21111",2152,4202,238
"22051",510,533,-16
"28063",9,25,-11
"29099",945,854,-45
"30043",35,61,-3
"31095",5,40,3
"36045",14,28,2
"39081",29,99,-5
"40067",5,19,-3
"41031",49,16,9
"42065",5,59,1
"47089",142,215,10
"48245",483,444,-47
"53031",0,8,0
"54037",29,101,-1
"55055",409,790,73
"22053",46,55,2
"28065",30,36,-6
"13165",47,15,5
"18079",13,55,-1
"46073",42,11,-2
"16053",87,228,23
"17083",37,39,-11
"21113",77,213,17
"20089",2,8,0
"48247",10,25,2
"48249",87,116,-17
"17085",54,164,4
"05071",51,115,9
"13167",9,13,-7
"17087",30,94,0
"18081",156,621,52
"19103",312,527,-54
"20091",1658,2407,98
"21115",24,127,4
"29101",63,213,-207
"31097",28,24,18
"47091",134,151,46
"48251",402,403,14
"56019",11,56,9
"37101",354,704,8
"40069",60,52,12
"13169",46,34,-2
"19105",64,155,8
"28067",187,200,-37
"37103",15,27,7
"46075",8,8,6
"48253",6,26,-6
NA,721,361,347
"41033",24,20,-4
"49023",28,61,10
"72075",58,57,-4
"30045",2,3,2
"72077",113,92,21
"55057",127,246,23
"02110",50,128,-12
"42067",24,36,-4
"26077",642,1066,50
"26079",10,33,4
"27065",39,58,-9
"54039",664,483,0
"27067",159,405,45
"17089",998,3041,12
"49025",11,12,7
"17091",186,567,-6
NA,983,1723,-353
"48255",187,20,-179
"15007",1,5,3
"48257",203,299,-11
"40071",178,121,8
"31099",18,25,2
"20093",19,29,13
"31101",11,38,-5
"28069",7,20,-1
"02122",21,326,3
"17093",226,474,24
"48259",134,17,-118
"48261",0,4,0
"23011",15,65,1
"55059",444,1142,104
"10001",136,260,-6
"24029",16,17,-2
"26081",1016,3321,170
"44003",149,421,7
"48263",1,2,-1
"21117",165,555,15
"19107",37,55,1
"06029",1052,1022,-220
"48265",150,43,-146
"45055",231,208,29
"02130",2,9,0
"55061",310,249,42
"26083",3,3,3
"31103",2,1,0
"38043",18,33,8
"31105",2,31,2
"48267",0,10,0
"48269",NA,0,NA
"53033",1242,2650,204
"51097",7,2,-3
"51099",7,22,3
"51101",19,25,-5
"40073",59,103,15
"20095",33,32,-1
"06031",524,368,-298
"46077",26,78,-2
"48271",20,17,-20
"08061",NA,3,NA
"20097",8,19,2
"40075",17,34,-3
"08063",2,39,0
"53035",111,150,29
"53037",52,112,10
"27069",-2,31,2
"41035",30,37,-4
"48273",38,1,-26
"53039",4,9,0
"21119",96,83,-22
"17095",156,389,-2
"18083",96,263,-14
"21121",94,179,6
"23013",8,33,2
"29103",7,7,1
"31107",76,42,-18
"39083",19,151,3
"47093",1331,1712,-197
"48275",27,3,29
"02150",4,22,2
"27071",27,21,-15
"16055",334,1084,74
"18085",146,614,44
"19109",99,91,-19
"02158",3,200,1
"55063",1136,764,-464
"04012",16,43,0
"08067",15,68,1
"48283",0,29,-10
"20099",26,84,6
"27073",39,29,11
"42069",262,620,92
"29105",247,215,-15
"05073",33,44,5
"12067",6,20,-4
"22055",251,264,-37
"28071",219,186,-69
"29107",191,178,-59
"55065",111,132,29
"22057",205,97,-37
"18087",23,113,15
"72079",41,29,11
"06033",150,60,-50
"08065",11,19,3
"12069",405,579,-51
"17097",1167,2717,83
"18089",817,2822,63
"26085",3,25,1
"27075",12,45,-4
"30047",39,185,9
"39085",135,483,15
"41037",5,12,7
"46079",46,119,6
"47095",64,37,-46
"27077",4,8,2
"01075",55,84,-5
"13171",23,40,13
"28073",214,259,0
"48277",212,269,34
"48279",23,105,-5
"50015",8,3,-4
"38045",28,57,14
"48281",44,19,-8
"31109",1144,1501,44
"42071",602,952,-16
"45057",210,204,-18
"51103",36,31,-14
"32015",4,20,4
"20101",3,10,-1
"41039",403,490,65
"55067",106,444,52
"13173",7,10,-9
"26087",64,209,22
"18091",196,554,104
"56021",87,635,27
"72081",73,60,7
"08069",400,884,24
"21123",32,97,12
"08071",4,49,4
"72083",17,12,-7
"72085",118,114,10
"17099",228,552,8
"22059",13,49,-5
"06035",11,20,-1
"16057",242,175,138
"40077",12,42,0
"01077",169,443,3
"28075",101,328,-21
"47097",111,267,25
"21125",227,299,63
"13175",134,184,-30
"45059",119,124,5
"48285",283,96,-253
"01079",63,127,-1
"05075",130,159,10
"17101",26,60,-2
"18093",32,348,16
"21127",5,46,-1
"28077",18,73,2
"29109",208,228,-10
"39087",131,211,-5
"42073",41,229,11
"46081",127,352,5
"47099",212,356,-2
"40079",271,199,-13
"27079",44,97,24
"35025",194,469,6
"28079",33,68,5
"20103",367,200,103
"42075",188,637,26
"01081",447,269,3
"05077",24,17,2
"12071",899,1764,-115
"13177",18,27,2
"17103",84,278,10
"19111",97,186,9
"21129",2,149,-4
"28081",420,354,142
"37105",129,215,37
"45061",27,36,7
"48287",17,10,1
"51105",29,150,7
"26089",13,31,-5
"28083",106,159,4
"42077",260,620,56
"16059",38,107,10
"26091",83,199,27
"37107",108,263,42
"12073",1250,807,-368
"48289",24,46,4
"21131",28,25,-4
"21133",66,45,18
"12075",72,51,-8
"16061",23,22,19
"21135",8,52,-8
"29111",36,57,16
"36049",0,84,0
"47101",51,154,13
"53041",103,91,25
"54041",0,37,0
"30049",98,494,58
"45063",929,755,103
"51678",58,47,36
"12077",34,18,6
"13179",109,108,-41
"30051",5,4,3
"48291",53,23,-65
"39089",158,645,10
"01083",249,365,-1
"48293",39,23,-13
"05079",223,153,-59
"08073",3,1,1
"13181",8,17,-8
"16063",9,105,1
"20105",2,6,2
"21137",39,81,15
"22061",296,96,12
"23015",8,14,4
"27081",31,41,-5
"28085",97,146,-1
"29113",126,252,32
"30053",23,85,21
"31111",90,332,64
"32017",0,21,0
"35027",37,104,1
"37109",300,360,48
"40081",105,125,31
"41041",11,12,1
"46083",266,859,48
"47103",95,181,5
"53043",12,16,6
"54043",27,52,3
"55069",128,382,20
"56023",81,61,15
"19113",581,1351,51
"20107",13,2,5
"29115",32,21,8
"41043",94,137,10
"48295",0,7,0
"09005",80,314,-10
"05081",30,72,-10
"48297",6,9,6
"17105",132,213,-12
"21139",11,19,-5
"22063",157,185,3
"26093",133,560,29
"29117",46,48,-12
"36051",11,93,1
"48299",17,23,3
"05083",38,72,8
"08075",82,220,-18
"17107",61,119,-3
"20109",21,63,13
"21141",42,160,20
"31113",1,2,1
"38047",49,25,9
"39091",33,132,-9
"40083",139,161,21
"54045",67,79,1
"72087",76,51,-2
"13183",34,12,0
"05085",265,335,-9
"39093",128,480,-24
"35028",4,11,-2
"06037",14151,19105,-219
"47105",155,190,35
"51107",366,492,-28
"19115",27,67,-1
"51109",21,52,5
"31115",1,3,-1
"40085",42,40,14
"01085",16,30,-2
"13185",166,419,-22
"28087",228,103,90
"48303",2095,3993,473
"19117",31,35,-19
"39095",419,931,-27
"26095",19,38,-17
"13187",83,57,-19
"35029",47,565,-21
"51111",11,14,-1
"72089",77,37,11
"42079",154,873,16
"42081",106,122,30
"46085",58,76,32
"51680",220,260,-10
"48305",9,50,3
"19119",176,87,44
"20111",84,134,4
"21143",18,20,2
"27083",126,148,28
"32019",50,81,-6
"26097",16,33,6
"26099",992,2651,188
"01087",17,27,-9
"13193",9,11,3
"17115",358,1184,42
"29121",42,52,-20
"37113",54,67,18
"47111",75,150,-1
"17117",117,151,-13
"06039",290,258,-24
"01089",702,801,-110
"05087",44,26,12
"12079",24,30,-8
"13195",66,65,-14
"16065",470,832,90
"17119",795,908,43
"18095",222,601,28
"19121",54,48,18
"21151",339,292,-83
"22065",24,6,6
"28089",177,211,39
"29123",31,115,-37
"30057",12,58,12
"31119",130,544,6
"36053",17,49,-1
"37115",21,146,15
"39097",118,112,50
"47113",568,432,-2
"48313",4,27,4
"51113",11,11,3
"21153",17,60,15
"19123",127,161,1
"27087",7,49,-1
"39099",155,491,69
"40093",26,58,10
"41045",190,139,-40
"51683",62,48,-8
"51685",16,25,-2
"12081",594,1038,-90
"72091",143,83,25
"26101",11,44,9
"55071",507,1050,91
"55073",647,2146,163
"01091",34,115,12
"72093",13,6,-3
"04013",3705,9116,-811
"29125",23,87,1
"06041",237,149,-37
"55075",337,473,129
"01093",73,82,-29
"05089",35,43,3
"12083",539,557,-73
"13197",8,6,-2
"17121",118,356,-8
"18097",1427,3071,49
"19125",94,187,-30
"20115",17,25,15
"21155",23,194,13
"28091",47,46,13
"29127",76,169,18
"39101",76,246,24
"41047",470,680,44
"45067",101,122,-13
"47115",86,172,-8
"48315",3,10,-3
"54049",39,64,13
"06043",1,3,1
"45069",64,92,0
"26103",100,493,10
"55077",155,234,47
"01095",224,291,-42
"17123",31,39,-5
"18099",57,317,13
"19127",53,267,15
"20117",13,34,7
"21157",73,109,-9
"27089",5,85,1
"28093",59,245,7
"40095",24,41,-6
"46091",14,11,-4
"47117",117,213,-1
"54051",34,120,-2
"12085",314,254,-74
"18101",19,23,-9
"21159",10,101,4
"27091",189,70,21
"37117",61,69,15
"48317",1,8,-1
"51690",17,49,-3
"17125",46,121,18
"21161",12,36,-4
"26105",4,104,-2
"48319",1,3,1
"53045",51,38,5
"54053",14,22,-4
"17127",30,29,10
"48321",35,31,-35
"02170",73,612,-3
"51115",50,10,30
"15009",45,125,-17
"72095",22,10,16
"47119",345,745,-9
"48323",177,454,-57
"72097",115,83,11
"40097",163,134,49
"40087",177,219,13
"30055",4,24,4
"46087",29,88,7
"45065",47,20,-31
"21145",109,270,5
"21147",58,45,36
"48307",24,33,-2
"40089",136,145,-12
"29119",65,77,-9
"17109",63,197,-1
"37111",148,158,116
"54047",8,23,6
"13189",40,46,6
"17111",369,1645,23
"38049",33,75,27
"13191",19,15,-5
"38051",27,36,3
"40091",51,85,15
"42083",8,67,-4
"38053",96,170,2
"35031",63,253,15
"17113",321,577,-71
"21149",13,100,-1
"38055",88,213,-16
"48309",908,973,-108
"27085",75,74,-9
"47107",182,316,-18
"48311",3,1,-1
"47109",177,104,35
"20113",21,142,-1
"31117",0,3,0
"46089",16,19,-2
"20119",40,14,-10
"21163",69,106,-9
"46093",144,222,2
"30059",15,33,-15
"37119",1581,2914,239
"51117",91,55,33
"26107",57,244,7
"39103",114,412,8
"48325",49,39,13
"27093",62,76,-12
"39105",14,36,-2
"47121",23,62,-3
"46095",5,38,-1
"17129",21,35,-5
"48327",0,39,0
"06045",147,85,-7
"21165",10,14,4
"26109",141,148,19
"55078",54,126,6
"06047",301,360,29
"17131",22,106,2
"21167",77,70,19
"29129",0,3,0
"34021",136,428,-4
"38057",74,174,8
"39107",157,329,-5
"42085",82,234,-4
"54055",43,246,3
"13199",21,37,-3
"31121",3,46,-1
"33013",51,193,3
"08077",140,594,44
"21169",25,51,-3
"18103",22,196,-2
"20121",93,88,17
"39109",201,420,-1
"12086",5253,8213,-213
"09007",68,264,10
"25017",1241,2567,121
"34023",673,1718,115
"51119",38,9,-20
"26111",98,357,-10
"48329",378,1096,130
"42087",29,125,-7
"48331",30,15,-4
"49027",34,34,0
"27095",40,142,-2
"05091",110,386,10
"13201",31,32,9
"29131",132,206,-16
"19129",50,124,8
"48333",13,9,-13
"55079",3460,8075,384
"46097",6,49,6
"08079",0,0,0
"30061",3,4,3
"32021",0,4,0
"54057",20,31,-14
"54059",61,142,-25
"16067",121,232,33
"46099",824,3192,42
"26113",7,19,3
"05093",166,360,-22
"29133",30,87,-4
"30063",338,827,94
"13205",49,19,13
"19131",24,82,-6
"20123",3,2,1
"37121",60,59,54
"48335",10,72,2
"01097",627,3006,23
"72099",58,65,12
"06049",5,5,-1
"08081",6,23,0
"04015",193,239,-45
"29135",77,215,11
"34025",662,1062,26
"06051",4,7,0
"19133",42,34,4
"54061",281,124,-79
"01099",22,44,2
"05095",30,26,-2
"12087",56,268,12
"13207",50,41,16
"17133",97,187,5
"18105",499,398,-107
"19135",23,43,-3
"21171",21,88,-1
"26115",94,350,30
"28095",87,132,5
"29137",4,66,-4
"36055",276,865,14
"39111",4,63,-4
"42089",37,138,11
"47123",121,262,25
"54063",7,76,1
"55081",236,325,56
"48337",27,68,7
"26117",67,291,9
"06053",890,762,-118
"08083",13,46,7
"01101",348,1059,-56
"05097",32,8,0
"13209",38,27,-2
"17135",99,156,1
"18107",19,146,-5
"19137",16,51,4
"20125",92,113,12
"21173",64,187,-16
"24031",1117,1657,47
"28097",26,46,-2
"29139",19,76,-7
"36057",17,20,-7
"37123",54,83,-14
"39113",752,2073,76
"42091",547,1107,-33
"47125",304,737,14
"48339",749,1331,-59
"51121",443,434,-15
"26119",3,17,1
"42093",23,45,19
"08085",26,72,-2
"46101",35,67,5
"37125",245,210,119
"47127",49,56,5
"48341",43,91,7
"35033",0,2,0
"22067",72,35,-32
"01103",231,582,-11
"08087",29,88,11
"13211",26,37,-8
"17137",78,231,16
"18109",66,171,0
"21175",13,44,9
"29141",155,153,-31
"39115",5,35,3
"47129",36,65,-6
"49029",20,71,2
"54065",11,61,-5
"72101",75,30,-13
"31123",6,39,0
"20127",15,17,5
"34027",227,937,-15
"48343",15,32,-3
"27097",99,316,29
"39117",18,132,-4
"41049",37,16,9
"20129",4,28,2
"38059",368,607,-14
"48345",2,5,2
"17139",21,137,7
"38061",77,163,-1
"27099",99,80,-19
"21177",67,81,-17
"41051",625,1286,47
"13213",73,138,-1
"27101",28,68,12
"40099",37,79,5
"19139",88,253,8
"13215",260,179,-4
"26121",177,666,-11
"39119",123,295,69
"40101",216,241,30
"30065",9,64,-5
"48347",142,89,44
"72103",48,53,2
"31125",29,36,-7
"25019",25,36,7
"06055",147,170,3
"72105",110,87,20
"37127",435,447,-39
"12089",149,166,-1
"36059",951,1630,-13
"22069",136,150,10
"56025",199,598,37
"04017",83,316,-7
"48349",200,141,-26
"21179",60,410,2
"38063",37,29,23
"51125",11,15,3
"20131",52,115,0
"31127",21,11,1
"20133",44,74,-18
"28099",86,104,0
"20135",36,37,0
"05099",37,64,-17
"06057",46,61,-16
"10003",1017,1121,165
"37129",608,523,198
"09009",375,1897,-9
"51127",22,36,0
"09011",364,720,136
"29143",46,128,6
NA,5424,9585,500
"26123",69,180,27
"45071",187,131,-45
"44005",28,96,-4
"51700",140,239,-20
"05101",62,40,-18
"13217",128,166,-12
"18111",12,55,-6
"28101",39,44,-11
"29145",117,274,-205
"48351",11,1,-5
"16069",72,312,10
"36063",94,170,0
"21181",8,33,4
"54067",37,20,-5
"27103",69,132,7
"56027",1,11,1
"18113",77,237,5
"39121",19,99,13
"40103",20,21,12
"27105",67,275,5
"29147",207,248,135
"48353",70,88,10
"02180",23,22,9
"25021",449,841,13
"51710",196,300,36
"27107",7,53,5
"02185",67,68,7
"37131",71,60,29
"42095",222,509,-18
"51131",1,8,-1
"42097",241,254,55
"51133",45,18,7
"02188",44,44,-4
"20137",9,517,3
"51720",1,7,1
"51135",31,37,-7
"40105",25,49,7
"28103",19,11,5
"31129",4,45,0
"48355",666,381,-124
"32023",24,136,6
"19141",137,210,21
"26125",1230,3507,8
"47131",193,282,23
"34029",1768,1052,690
"26127",22,100,2
"48357",18,55,-4
"13219",75,95,-3
"45073",400,236,268
"55083",403,515,93
"26129",7,42,-1
"46102",82,472,38
"17141",173,349,31
"13221",34,50,-12
"18115",4,38,0
"21183",34,75,6
"54069",35,142,-3
"12091",341,767,127
"53047",39,35,-1
"12093",218,88,-70
"40107",23,317,-3
"40109",2650,2962,-232
"40111",116,239,-2
"28105",94,134,18
"21185",142,174,-24
"48359",3,2,1
"38065",8,25,0
"27109",327,470,69
"16071",6,20,2
"36065",77,210,21
"55085",197,449,51
"36067",291,657,17
"37133",509,577,213
"36069",26,148,-8
"26131",2,52,0
"06059",2753,3317,-77
"12095",2087,3380,-253
"18117",12,75,-6
"36071",432,645,152
"37135",145,225,25
"48361",164,173,10
"50017",3,6,-1
"51137",34,52,-10
"45075",128,122,28
"29149",47,40,9
"22071",412,386,60
"36073",14,54,8
"50019",0,11,0
"72107",54,46,10
"20139",26,29,4
"29151",45,186,7
"40113",254,111,150
"20141",5,16,5
"12097",673,896,-59
"19143",69,70,-3
"26133",11,76,1
"26135",1,10,1
"36075",94,60,-24
"08089",12,54,0
"35035",33,271,13
"31131",37,80,9
"26137",9,82,-11
"36077",23,48,-7
"20143",10,19,2
"26139",475,1310,-41
"39123",10,93,4
"40115",143,158,-11
"27111",119,310,13
"05103",44,68,-10
"22073",373,368,-29
"08091",1,8,1
"55087",1953,2350,247
"47133",135,210,13
"18119",10,34,0
"21187",13,18,-3
"21189",5,36,5
"16073",11,40,9
"23017",60,9,-20
"29153",35,54,-9
"55089",279,730,-1
"53049",9,12,3
"19145",68,92,48
"51139",26,34,4
"12099",2093,3510,-475
"19147",69,58,9
"48363",95,91,-9
"37137",45,27,23
"28107",113,92,9
"48365",33,44,-9
"08093",12,37,-6
"30067",19,96,3
"56029",49,282,13
"18121",22,73,8
"48367",233,285,-1
"48369",37,47,15
"12101",682,834,-14
"37139",80,87,-34
"34031",392,1201,78
"72109",23,17,-5
"51141",17,32,-5
"13223",164,286,-30
"39125",22,108,2
"20145",104,27,-70
"31133",4,7,0
"40117",22,45,-2
"16075",126,115,-8
"40119",430,188,-14
"13225",42,68,-26
"28109",81,125,7
"48371",25,92,1
"38067",48,73,10
"29155",102,98,-10
"53051",9,20,3
"37141",123,254,-1
"21191",14,24,6
"54071",5,12,-3
"27113",15,69,-5
"46103",543,1165,85
"23019",2,35,2
"72111",20,14,-2
"17143",514,728,-10
"55091",16,76,6
"31135",-1,11,-3
"46105",14,22,-4
"37143",24,36,-6
"01105",7,26,1
"05105",12,21,-4
"17145",32,91,0
"18123",26,171,-4
"21193",22,146,2
"28111",50,65,-18
"29157",91,117,-37
"39127",29,71,-1
"42099",40,70,6
"47135",19,174,-11
"32027",1,1,1
"37145",53,155,-5
"02195",-1,6,1
"51730",52,108,-10
"30069",NA,0,NA
"29159",237,360,-55
"29161",107,175,-43
"31137",14,100,-6
"42101",1785,4326,659
"05107",73,101,17
"08095",0,22,-2
"20147",40,59,-18
"30071",6,47,0
"17147",19,87,3
"39129",80,281,22
"01107",57,125,-3
"13227",38,136,-22
"45077",495,746,215
"47137",39,66,9
"13229",31,108,3
"31139",16,71,0
"38069",6,79,4
"53053",743,1457,59
"55093",239,165,-155
"01109",92,77,-10
"05109",19,17,3
"13231",33,59,1
"17149",36,193,16
"18125",46,73,26
"21195",90,327,54
"28113",51,61,-1
"29163",25,81,-15
"39131",66,96,-2
"42103",21,20,-3
"04019",2741,1527,-1493
"04021",410,716,30
"27115",166,108,-58
"12103",1029,2175,-69
"27117",35,52,11
"23021",1,0,-1
"08097",10,38,-6
"37147",596,543,76
"40121",132,169,10
"51143",101,156,5
"49031",3,4,1
"06061",231,473,-69
"22075",73,74,55
"29165",151,156,3
"31141",155,346,29
"56031",17,66,3
"54073",3,11,1
"06063",4,17,-4
"19149",232,278,-38
"25023",346,946,74
"19151",22,51,2
"54075",1,8,-1
"05111",88,266,-2
"22077",32,44,-16
"05113",19,33,11
"12105",1358,1516,-198
"13233",126,208,-4
"19153",1270,2284,-26
"27119",81,429,-1
"29167",241,193,39
"31143",20,67,2
"37149",69,35,55
"41053",48,57,0
"47139",40,87,20
"48373",141,76,-5
"55095",45,240,19
"72113",235,191,15
"30073",36,59,26
"28115",105,102,-1
"40123",133,238,11
"05115",195,289,29
"17151",6,8,2
"27121",22,38,-2
"51735",-1,11,1
"39133",154,374,0
"55097",515,811,-27
"18127",281,1000,5
"51740",167,145,-47
"18129",87,182,37
"20149",84,58,2
"40125",304,419,-8
"19155",344,590,26
"42105",4,20,2
"46107",15,34,-3
"48375",1549,1107,1015
"30075",15,19,9
"21197",11,18,5
"30077",2,135,2
"16077",72,39,8
"19157",100,83,10
"51145",22,48,0
"05117",21,48,3
"30079",3,5,3
"20151",16,91,-4
"39135",42,188,14
"28117",111,97,-11
"48377",3,50,-1
"26141",3,45,-1
"54077",14,34,0
"55099",80,122,46
"51147",40,69,-10
"51149",131,116,-29
"24033",1452,1719,-36
"02198",1,1,1
"51153",757,996,-53
"44007",986,2881,-6
"08099",2,93,-2
"08101",128,713,26
"05119",1180,1289,76
"13235",12,37,-8
"17153",31,28,13
"18131",2,57,-4
"21199",112,119,-14
"29169",183,188,-47
"51155",46,40,-14
"40127",26,45,6
"12107",151,145,-45
"13237",33,58,1
"17155",30,20,-14
"18133",84,139,24
"29171",-1,13,-7
"36079",52,117,8
"39137",122,453,-6
"47141",520,690,-94
"54079",142,159,-20
"35037",5,20,-5
"72115",41,46,3
"24035",48,79,-6
"13239",2,14,0
"28119",31,14,3
"13241",30,26,4
"55101",721,2060,155
"51750",52,148,-10
"48379",8,88,0
"54081",79,196,3
"29173",14,36,-2
"27123",1043,2044,105
"38071",76,170,38
"48381",492,1192,64
"01111",91,79,-1
"05121",81,102,13
"13243",2,4,-2
"17157",71,251,-7
"18135",32,177,12
"29175",87,194,13
"37151",266,473,110
"54083",28,51,16
"28121",251,398,43
"38073",23,92,-7
"22079",221,235,17
"51157",1,5,-1
"30081",35,215,15
"20153",59,41,-5
"29177",21,73,-1
"48383",1,6,-1
"48385",13,17,-13
"27125",8,32,2
"22081",12,62,4
"48387",6,23,2
"31145",17,133,7
"27127",92,79,-34
"48389",14,40,6
"48391",7,-1,3
"20155",230,740,-50
"36083",32,91,2
"27129",54,70,0
"38075",46,22,0
"20157",8,17,-6
"29179",9,35,-13
"47143",112,148,32
"20159",19,48,5
"27131",77,220,3
"49033",6,2,-2
"31147",8,43,0
"17159",95,41,3
"22083",42,60,24
"30083",16,154,4
"38077",61,187,-9
"39139",188,362,80
"45079",1508,979,8
"55103",72,127,34
"13245",480,411,-98
"37153",181,177,13
"51159",12,1,14
"51760",290,367,-44
"20161",446,142,-176
"72117",48,14,12
"19159",13,24,-3
"35039",22,88,6
"08103",2,5,0
"08105",1,15,-1
"72119",131,146,17
"18137",40,133,16
"29181",-5,81,-37
"54085",3,21,1
"06065",3204,4766,216
"47145",136,317,-30
"54087",11,29,-3
"51161",185,351,23
"51770",374,581,-42
"46109",86,96,14
"48393",2,0,2
"21201",0,23,0
"47147",135,276,-1
"48395",31,34,-3
"37155",511,563,191
"27133",51,85,-7
"31149",9,9,-1
"55105",551,1611,55
"17161",408,824,16
"51163",26,10,0
"21203",22,105,-2
"13247",88,159,-14
"33015",96,346,-8
"37157",204,385,38
"51165",148,105,-8
"36087",792,1047,204
"48397",155,201,5
"40129",39,9,-5
"40131",317,284,5
"38079",61,167,13
"20163",52,33,24
"30085",307,230,55
"35041",39,105,-19
"26143",13,85,5
"27135",21,193,-5
"30087",141,92,-77
"39141",76,347,22
"08107",20,41,2
"21205",52,63,28
"37159",320,349,26
"48399",36,16,-6
"18139",12,115,0
"20165",25,14,1
"48401",126,83,18
"55107",26,96,0
"01113",105,110,11
"20167",32,37,4
"21207",27,90,-5
"51167",48,112,18
"37161",190,245,18
"47149",805,1831,15
"50021",2,4,4
"72121",23,21,-1
"22085",48,63,4
"48403",4,15,4
"19161",106,62,-22
"06067",1994,1993,-430
"23023",6,10,0
"26145",182,796,36
"08109",0,24,0
"69110",15,12,15
"34033",43,50,-5
"51775",21,171,3
"72123",81,53,27
"05125",247,421,-1
"17165",142,169,-16
"20169",173,218,9
"29195",109,115,-23
"31151",73,133,1
"49035",4977,8685,431
"45081",27,16,-13
"37163",534,319,436
"48405",11,22,5
"06069",98,65,-22
"06071",3951,4904,213
"06073",3735,4588,-225
"06075",785,512,-37
"72125",51,40,1
"48407",6,11,-2
"06077",788,919,-86
"08111",0,1,0
"35045",116,268,42
"72127",1732,1437,522
"49037",19,94,1
"53055",0,3,0
"72129",159,100,15
"06079",313,313,-13
"06081",726,654,-74
"08113",0,5,-4
"35047",10,54,-14
"48409",73,42,-59
"48411",23,9,3
"72131",83,199,23
"46111",14,42,2
"30089",6,15,0
"35043",75,412,35
"39143",44,113,22
"17167",326,1157,40
"26151",12,60,-4
"49039",31,124,-7
"06083",412,384,36
"06085",1619,1893,-157
"04023",55,101,-3
"06087",315,202,-57
"35049",105,524,29
"72133",35,46,-3
"12113",178,301,58
"12115",480,798,2
"36091",96,193,8
"38081",40,29,-4
"31153",528,1119,50
"55111",216,506,12
"31155",123,107,-17
"55113",39,83,19
"36093",48,106,-4
"48413",2,1,-2
"13249",2,2,0
"36095",2,13,2
"26153",9,40,1
"17169",12,23,-4
"29197",4,9,4
"36097",10,54,-4
"42107",142,599,82
"39145",93,270,21
"29199",10,24,-2
"37165",354,159,82
"05127",12,82,6
"17171",18,28,-8
"18143",52,94,22
"19163",527,1107,-29
"20171",16,24,0
"21209",97,212,35
"27139",358,609,-6
"28123",31,74,-13
"29201",124,298,-18
"47151",36,116,-2
"51169",15,175,5
"31157",31,449,3
"13251",60,23,-26
"48415",45,174,-45
"05129",11,32,3
"05131",535,515,3
"08115",3,27,-1
"20173",995,2561,55
"12117",462,752,-90
"13253",31,24,-3
"40133",87,166,11
"36099",3,23,1
"39147",81,129,-15
"47153",36,64,10
"40135",196,165,4
"05133",21,123,1
"47155",218,480,30
"49041",15,122,5
"20175",183,223,-29
