"fips","pre_covid_cases","post_covid_cases","pre_week_diff"
"44001",32,97,-12
"02997",6,12,0
"51520",18,75,0
"30007",1,52,1
"54009",9,54,-3
"46011",170,383,-20
"13027",21,16,-5
"48047",34,16,0
"36007",245,878,141
"08014",81,274,5
"12011",2388,5648,-240
"17009",39,27,13
"18013",9,31,-11
"20013",48,68,18
"27015",47,80,-13
"31017",23,16,1
"39015",25,125,-1
"46013",281,410,65
"48049",91,119,-29
"55009",2731,3243,297
"46015",50,103,6
"37019",167,234,57
"51025",25,22,3
"13029",139,76,-83
"40013",225,307,1
"19019",82,131,-8
"29021",775,554,147
"51027",44,53,0
"51029",10,37,-2
"42017",534,810,0
"19021",113,131,15
"51530",10,5,6
"31019",223,422,-11
"46017",27,69,7
"55011",28,114,2
"21029",132,370,4
"13031",191,180,-83
"01011",27,20,-1
"37021",383,495,129
"17011",144,159,4
"13033",71,39,-7
"37023",161,267,57
"38013",9,37,-1
"38015",1008,1960,12
"48051",24,65,-8
"34005",385,857,-25
"48053",55,233,-1
"55013",120,60,-16
"31021",8,44,2
"01013",16,32,-4
"19023",30,82,0
"20015",157,278,1
"21031",25,47,-19
"29023",148,334,-64
"31023",22,103,6
"39017",806,1644,114
"42019",118,429,-18
"06007",153,144,-9
"16023",13,27,11
"46019",41,186,15
"13035",47,39,13
"37025",411,421,65
"54011",175,364,47
"72023",54,65,2
"49005",381,783,-45
"22017",653,730,-65
"40015",137,140,19
"72025",364,311,72
"06009",17,21,-1
"22019",247,323,-51
"21033",43,62,-5
"22021",4,33,0
"29025",44,32,8
"37027",149,490,51
"48055",100,40,-40
"50005",0,9,0
"01015",404,803,-68
"05013",5,13,-1
"12013",18,60,6
"13037",16,14,4
"17013",28,3,2
"19025",34,82,-2
"26025",318,1007,136
"28013",23,33,19
"45017",14,17,0
"48057",206,61,-196
"54013",3,4,-3
"48059",12,30,2
"29027",128,431,14
"21035",113,208,11
"55015",551,602,135
"24009",87,97,17
"16025",20,3,4
"42021",63,334,13
"13039",115,76,-9
"29029",278,236,-10
"34007",399,1034,-5
"37029",9,6,1
"22023",8,13,-8
"42023",0,1,0
"48061",600,618,-20
"48063",19,24,-1
"21037",90,316,-6
"46021",29,13,11
"47013",68,320,18
"51031",72,155,4
"56005",98,559,12
"72027",83,53,13
"40017",581,885,3
"13043",59,44,-17
"47015",50,70,-4
"72029",144,149,54
"16027",530,1187,78
"29031",599,496,113
"34009",43,63,-11
"30009",18,69,-4
"42025",30,71,-2
"49007",40,92,4
"56007",31,60,-11
"16029",50,94,4
"21039",10,10,-4
"27017",67,169,13
"72031",725,765,293
"24011",37,66,1
"51033",63,40,-19
"05015",128,107,32
"13045",256,448,-6
"17015",40,154,2
"18015",16,65,8
"19027",113,231,7
"21041",7,23,5
"24013",84,158,4
"28015",25,62,9
"29033",-3,49,-19
"33003",5,22,-3
"39019",7,65,-5
"47017",136,110,0
"51035",40,78,-6
"48065",10,7,8
"32510",43,143,-3
"21043",50,92,20
"29035",39,44,-21
"30011",NA,45,NA
"40019",85,193,-13
"47019",119,355,-3
"37031",137,198,75
"27019",167,270,-15
"30013",248,860,-38
"21045",12,72,0
"17017",41,29,-11
"18017",47,189,9
"19029",57,181,7
"26027",123,285,5
"27021",71,149,21
"29037",243,405,-11
"31025",52,134,-4
"38017",927,2279,43
"48067",72,93,2
"16031",152,373,72
"48069",20,40,4
"37033",86,85,-2
"22025",15,13,-5
"72033",102,76,24
"37035",338,745,68
"13047",148,150,-22
"35003",-2,1,2
"36009",31,134,5
"38019",10,30,-6
"72035",59,90,5
"36011",27,154,5
"24015",136,121,-16
"19031",48,186,-4
"29039",38,43,-6
"31027",16,27,2
"72037",44,32,20
"42027",1202,576,62
"19033",110,331,8
"08015",17,63,5
"01017",72,118,-2
"48071",126,74,-6
"17019",654,989,38
"39021",33,86,-5
"29041",8,16,6
"24017",170,217,-24
"51036",4,8,-4
"46023",50,117,6
"45019",656,815,-110
"26029",14,85,-6
"12015",187,357,21
"51037",10,28,-2
"51540",311,116,-29
"13049",35,13,-3
"20017",2,16,2
"31029",6,41,-4
"13051",589,479,-121
"37037",115,116,39
"13053",70,67,6
"13055",98,115,-8
"20019",3,8,3
"36013",63,205,15
"35005",247,408,65
"47021",53,191,-7
"26031",6,71,0
"53007",91,169,9
"36015",235,641,63
"36017",8,119,2
"01019",94,67,-20
"13057",486,654,14
"19035",101,80,-13
"20021",107,99,-5
"37039",100,55,24
"40021",195,138,-69
"45021",143,193,-37
"48073",62,41,-2
"31031",14,19,-4
"51550",231,280,-13
"33005",10,29,8
"42029",557,623,-43
"45023",49,101,7
"47023",109,41,-13
"45025",103,89,-25
"51041",425,644,-21
"08017",3,1,-1
"20023",54,43,-26
"31033",9,48,5
"19037",78,67,-10
"28017",64,64,-8
"05017",21,27,-9
"48075",9,34,3
"01021",181,159,-11
"26033",12,81,-4
"27023",53,132,7
"55017",154,855,40
"27025",109,404,3
"50007",15,97,-3
"01023",10,12,6
"28019",10,8,2
"40023",43,48,7
"30015",13,56,-3
"37041",83,51,15
"17021",236,141,-26
"21047",246,334,-14
"29043",377,418,-99
"32001",23,44,7
"72039",69,35,31
"35006",22,167,4
"72041",73,67,19
"40025",4,8,0
"12017",275,260,-77
"41005",280,427,24
"22027",34,21,-4
"28021",18,14,-6
"47025",38,61,-16
"53009",17,20,3
"26035",6,111,-4
"45027",61,41,-11
"42031",15,59,7
"05019",68,59,2
"16033",7,0,-1
"17023",42,81,16
"18019",267,504,7
"20025",2,14,2
"21049",34,121,12
"29045",11,25,3
"32003",4099,7947,463
"39023",195,542,23
"46025",12,66,6
"53011",448,683,20
"55019",124,363,30
"01025",66,151,12
"13059",365,443,-75
"19039",19,63,-3
"28023",92,81,-10
"51043",7,8,-3
"41007",116,16,72
"01027",87,88,-11
"05021",70,86,4
"12019",522,512,-10
"13061",3,7,1
"17025",24,67,10
"18021",31,108,3
"19041",85,97,-3
"20027",11,40,-5
"21051",62,184,-12
"27027",278,672,4
"28025",40,55,-12
"29047",169,469,-37
"31035",16,70,2
"37043",18,74,4
"46027",46,169,10
"47027",82,71,-26
"48077",6,38,-16
"54015",5,12,-3
"13063",147,633,-105
"19043",48,191,20
"08019",4,25,2
"42033",38,103,-4
"16035",26,26,0
"27029",8,79,4
"01029",103,77,43
"05023",39,60,7
"39025",202,646,-4
"05025",21,50,-7
"37045",381,464,9
"40027",963,1139,-137
"13065",35,44,-17
"17027",235,362,33
"18023",55,225,43
"19045",134,265,-16
"21053",27,76,7
"26037",98,392,-16
"29049",50,130,2
"36019",8,65,4
"39027",34,149,14
"42035",31,40,-17
"20029",9,71,5
"28027",86,47,-24
"40029",5,26,-5
"72043",69,77,15
"13067",1021,1315,-107
"04003",45,186,11
"48079",5,37,-1
"47029",40,283,4
"04005",542,658,152
"46029",282,354,-8
"01031",158,245,32
"13069",138,141,-16
"47031",298,345,-6
"20031",19,34,3
"48081",3,49,-1
"01033",124,256,-14
"29051",368,889,24
"48083",17,14,1
"17029",215,381,9
"31037",44,97,10
"35007",11,5,3
"45029",88,100,8
"12021",479,1050,-107
"48085",1440,1611,-16
"48087",1,2,1
"51570",22,34,4
"48089",21,10,-13
"13071",8,146,28
"05027",146,92,56
"12023",259,198,33
"13073",246,398,-14
"36021",18,88,2
