"state","county","inperson","total_votes","inperson_pct","pre_covid_cases","post_covid_cases","pre_week_diff","num_prec_pc","pop_2018","med_age","medIncome_2018","pctPovty_2018","unplmtRate_2018","noins_u65_2018","pctUrban_2010","pct_vet","avg_householdsize","pct_snap","pctno_hs","pctcollege","popDens","pct_black","pct_hisp","pct_asian","pct65plus","pct4064","pct1840","pctTrump_2016","inperson_1000","turnout","pre_election_rate","post_election_rate","state_pre_rate","state_post_rate","state_inperson_rate"
"Alabama","Autauga",24319,27813,0.87437529212958,175,299,47,30.5749896584594,55601,37,59338,13.8,3.6,100,58,0.104476538191759,2.68,0.138414776712649,11.3,27.7,91.8,0.193431772809842,0.0296577399687056,0.0122479811514181,0.117731695473103,0.333393284293448,0.272063452096185,0.734357893029,24.319,0.437384219708279,314.742540601788,537.760112228197,411.672075633747,619.738123203333,0.413973895792258
"Alabama","Baldwin",97311,110214,0.882927758723937,555,1194,-9,22.4747961214923,218022,41.1,57588,9.8,3.6,132,57.7,0.0893900615534212,2.46,0.0928392547541074,9.7,31.3,114.7,0.0878397592903468,0.0464677876544569,0.0115034262597353,0.140206034253424,0.333420480501968,0.240989441432516,0.773514719949,97.311,0.44633569089358,254.561466274046,547.65115447065,411.672075633747,619.738123203333,0.413973895792258
"Alabama","Barbour",9264,10560,0.877272727272727,88,48,0,60.2869659579599,24881,39,34382,30.9,5.2,135,32.2,0.0770869338049114,2.47,0.246131586351031,27,12.2,31,0.480326353442386,0.0427635545195129,0.00454161810216631,0.157107833286443,0.275752582291709,0.212049354929464,0.522714148219,9.264,0.37233230175636,353.683533620031,192.918291065472,411.672075633747,619.738123203333,0.413973895792258
"Alabama","Bibb",9053,9630,0.940083073727934,95,203,-13,31.25,22400,37.8,46064,21.8,4,106,31.6,0.0580357142857143,2.6,0.156428571428571,16.8,11.5,36.8,0.211205357142857,0.02625,0.00236607142857143,0.129732142857143,0.304866071428571,0.240625,0.769661636946,9.053,0.404151785714286,424.107142857143,906.25,411.672075633747,619.738123203333,0.413973895792258
"Alabama","Blount",25954,27665,0.938152900777155,256,423,0,39.7648686030429,57840,39,50412,13.2,3.5,141,10,0.0666666666666667,2.63,0.110684647302905,19.8,12.6,88.9,0.0146265560165975,0.0957123098201936,0.0031984785615491,0.145902489626556,0.327783540802213,0.257365145228216,0.89851875197,25.954,0.44872060857538,442.600276625173,731.327800829876,411.672075633747,619.738123203333,0.413973895792258
"Alabama","Bullock",3913,4633,0.844593136196849,20,25,4,138.09429867824,10138,38.5,29267,42.5,4.7,119,48.6,0.0439928980074965,2.46,0.278161373051884,24.8,13.3,17.5,0.69540343262971,0.0796014993095285,0.00187413691063326,0.144900374827382,0.254783981061353,0.222627737226277,0.242288874708,3.913,0.385973564805682,197.277569540343,246.596961925429,411.672075633747,619.738123203333,0.413973895792258
"Alabama","Butler",8458,9527,0.887792589482523,32,83,4,106.707317073171,19680,40.1,37365,24.5,4.8,119,28.8,0.0757113821138211,2.43,0.250457317073171,15.4,16.1,27,0.445579268292683,0.0150914634146341,0.0131605691056911,0.177286585365854,0.315650406504065,0.254776422764228,0.563154864709,8.458,0.429776422764228,162.60162601626,421.747967479675,411.672075633747,619.738123203333,0.413973895792258
"Alabama","Calhoun",46440,51141,0.908077667624802,803,764,361,37.6278691250208,114277,38.2,45400,19.5,4.7,111,66.3,0.0910681939497887,2.44,0.181856366547949,15.9,18,195.7,0.208502148288807,0.0391067318883065,0.00964323529669137,0.148673836380024,0.321280747657009,0.269686813619539,0.692396994259,46.44,0.406380986550224,702.678579241667,668.550977011997,411.672075633747,619.738123203333,0.413973895792258
"Alabama","Chambers",12588,15374,0.81878496162352,118,207,-42,44.6229361892012,33615,41.5,39917,18.7,3.9,116,50.9,0.0737170905845605,2.42,0.201219693589171,18.6,13.2,57.4,0.395656700877584,0.0256135653726015,0.0132678863602558,0.169745649263722,0.333333333333333,0.258128811542466,0.566337639715,12.588,0.374475680499777,351.033764688383,615.796519410977,411.672075633747,619.738123203333,0.413973895792258
"Alabama","Cherokee",11423,12341,0.925613807633093,67,122,9,84.5113706207744,26032,43.9,42132,16.3,3.6,135,14.3,0.077519975414874,2.42,0.154963122311002,19.8,12.9,46.9,0.0424093423478795,0.0162108174554395,0.00338045482483098,0.178664720344192,0.350107559926245,0.225645359557468,0.838712748738,11.423,0.438806084818685,257.375537799631,468.653964351567,411.672075633747,619.738123203333,0.413973895792258
"Alabama","Chilton",17800,19366,0.919136631209336,159,190,-23,38.5024800126832,44153,37.6,47547,17.3,3.6,163,13.3,0.0662016171041605,2.61,0.1666251443843,17.8,14.2,63,0.0996761261975404,0.0792698117908183,0.00486943129572169,0.13410187303241,0.326818109754717,0.263062532557244,0.825417693783,17.8,0.403143614250447,360.11143070686,430.321835435871,411.672075633747,619.738123203333,0.413973895792258
"Alabama","Choctaw",6725,7522,0.894044137197554,12,16,-2,241.414220076318,12841,43.4,39907,22.1,5.5,135,0,0.0649482127560159,2.34,0.250369908885601,18.6,13,15.2,0.415154582976404,0.010435324351686,0.00179113776185655,0.196168522700724,0.340160423643018,0.226306362432832,0.564391854706,6.725,0.523713106455884,93.4506658359941,124.600887781325,411.672075633747,619.738123203333,0.413973895792258
"Alabama","Clarke",11852,13185,0.898900265453166,151,95,-41,117.056856187291,23920,40.2,40741,22.8,7.5,126,24,0.0644648829431438,2.47,0.237876254180602,18.8,12.6,20.9,0.443269230769231,0.013628762541806,0.00434782608695652,0.174498327759197,0.330392976588629,0.24757525083612,0.549551638837,11.852,0.495484949832776,631.270903010033,397.157190635452,411.672075633747,619.738123203333,0.413973895792258
"Alabama","Clay",6468,7026,0.920580700256191,88,70,-26,105.461393596987,13275,42,39201,17.6,3.9,159,0,0.0757062146892655,2.41,0.12120527306968,24.5,10.2,23.1,0.138305084745763,0.0301318267419962,0.0024105461393597,0.184482109227872,0.339133709981168,0.243691148775895,0.795800365186,6.468,0.487231638418079,662.900188323917,527.306967984934,411.672075633747,619.738123203333,0.413973895792258
"Alabama","Cleburne",6671,7255,0.919503790489318,77,100,-17,86.7418429305398,14987,40.6,46495,16,4.2,136,0,0.0583839327417095,2.51,0.154600653900047,22.6,13.7,26.7,0.0286915326616401,0.0248215119770468,0.00220190832054447,0.157536531660773,0.329952625608861,0.242543537732702,0.878444580527,6.671,0.445119103222793,513.778608127043,667.244945619537,411.672075633747,619.738123203333,0.413973895792258
"Alabama","Coffee",19972,22387,0.892124893911645,245,303,-7,53.9405498083184,51909,37.6,55122,13.8,3.9,125,52.8,0.137066789959352,2.49,0.141343504979869,13.8,23.4,73.6,0.171877709067792,0.0758057369627618,0.0163555452811651,0.13889691575642,0.321948024427363,0.269259665953881,0.771461999708,19.972,0.384750235989905,471.979810822786,583.713806854303,411.672075633747,619.738123203333,0.413973895792258
"Alabama","Colbert",25051,27984,0.895190108633505,256,539,20,60.2607647638874,54762,41.8,49055,13.8,4.6,113,56.1,0.0742668273620394,2.37,0.138782367335013,15.6,18.7,91.8,0.159983200029217,0.0267521273876045,0.00589825061173807,0.172802308169899,0.328968993097403,0.261878674993609,0.678875984732,25.051,0.457452247909134,467.477447865308,984.25915781016,411.672075633747,619.738123203333,0.413973895792258
"Alabama","Conecuh",5991,6472,0.925679851668727,23,41,3,211.778121690967,12277,43,32613,24.4,5.2,125,19.1,0.0740408894681111,2.34,0.265781542722163,19.2,10.7,15.6,0.456626211615215,0.0215036246640059,0.00211778121690967,0.192392278243871,0.327360104259998,0.234503543210882,0.521626165368,5.991,0.487985664250224,187.342184572778,333.957807281909,411.672075633747,619.738123203333,0.413973895792258
"Alabama","Coosa",5126,5494,0.933017837641063,27,84,5,102.659822678488,10715,44.2,42423,18.9,4.2,126,0,0.0845543630424638,2.38,0.162109192720485,20.4,11.6,17.7,0.304713019132058,0.0251983201119925,0.00139990667288847,0.18385440970602,0.374241717218852,0.209612692487168,0.646371816963,5.126,0.478394773681755,251.983201119925,783.947736817545,411.672075633747,619.738123203333,0.413973895792258
"Alabama","Covington",16028,17555,0.913016234690971,175,161,-29,64.8894176174769,36986,42.4,40203,19.9,4.6,122,30.3,0.0904125885470178,2.39,0.196641972638296,17.1,14.9,36.7,0.124425458281512,0.0174931054993781,0.00465040826258584,0.18761152868653,0.324582274374087,0.24165900611042,0.835883171071,16.028,0.433353160655383,473.152003460769,435.299843183907,411.672075633747,619.738123203333,0.413973895792258
"Alabama","Crenshaw",6156,6645,0.926410835214447,38,43,-12,122.974537037037,13824,40.7,39057,19.5,4.1,128,0,0.0778356481481482,2.44,0.21361400462963,21.6,15.6,22.8,0.232204861111111,0.0231481481481481,0.0112123842592593,0.159866898148148,0.32689525462963,0.25267650462963,0.721529110685,6.156,0.4453125,274.884259259259,311.053240740741,411.672075633747,619.738123203333,0.413973895792258
"Alabama","Cullman",39155,41985,0.932594974395617,529,771,111,57.524987416409,83442,39.9,45796,14.5,3.3,138,26.8,0.0791447951870761,2.49,0.118501474077803,18.2,13.7,109.4,0.0120562786126891,0.0443301934277702,0.0067232329042928,0.153519810167542,0.324105366601951,0.261103521008605,0.878105048554,39.155,0.469248100476978,633.973298818341,923.99511037607,411.672075633747,619.738123203333,0.413973895792258
"Alabama","Dale",17804,19838,0.89746950297409,268,177,126,36.7677097802108,48956,36.1,45309,16.2,4.2,110,49.1,0.143271509110221,2.46,0.197401748508865,14.2,17,89.6,0.204510172399706,0.066386142658714,0.0141964212762481,0.138062750224692,0.306254595963723,0.281089141269712,0.741150561315,17.804,0.363673502737152,547.430345616472,361.549146172073,411.672075633747,619.738123203333,0.413973895792258
"Alabama","Dallas",14948,17949,0.832804055936264,53,202,9,73.0879665883581,38310,37.7,34035,31.4,6.5,114,54.4,0.0681023231532237,2.52,0.379430957974419,19.3,15.1,44.8,0.700574262594623,0.0111198120595145,0.00582093448185852,0.160924040720439,0.317880448968938,0.254789872096058,0.30880939669,14.948,0.390185330200992,138.345079613678,527.277473244584,411.672075633747,619.738123203333,0.413973895792258
"Alabama","DeKalb",27345,29451,0.928491392482428,543,696,-105,60.2367444140926,71385,37.5,39491,21.3,3.8,188,9.9,0.0503046858583736,2.62,0.189451565454928,25.9,12.7,91.5,0.0144848357498074,0.148420536527282,0.00515514463822932,0.138334383974224,0.324858163479723,0.25799537718008,0.834892279384,27.345,0.383063668837991,760.664005043076,974.994746795545,411.672075633747,619.738123203333,0.413973895792258
"Alabama","Elmore",36988,41149,0.898879681158716,247,443,-9,34.1934617216408,81887,37.8,60367,11.2,3.4,99,45.8,0.0906004616117332,2.61,0.120580800371243,13.6,24.5,128.2,0.212146006081551,0.0301268821668885,0.00709514330724047,0.115231966001929,0.317034449912685,0.254900045184217,0.748380978187,36.988,0.451695629342875,301.635180187331,540.989412238817,411.672075633747,619.738123203333,0.413973895792258
"Alabama","Escambia",14686,15956,0.920406116821259,65,107,11,76.194622836617,36748,39.2,38418,23.6,4.6,149,36.5,0.0687656471100468,2.48,0.224502013715032,18.5,12.7,40.6,0.314030695548057,0.0246816153260041,0.00304778491346468,0.158158267116578,0.293839120496354,0.234652225971481,0.67586932229,14.686,0.399640796778056,176.880374442146,291.172308697072,411.672075633747,619.738123203333,0.413973895792258
"Alabama","Etowah",42047,47869,0.878376402264514,521,1057,-59,29.2680071413937,102501,40.2,44903,17.5,4.1,125,62.5,0.07286758177969,2.43,0.139159617954947,15.5,17.7,195.2,0.154837513780353,0.0401557057979922,0.00831211402815582,0.161052087296709,0.328933376259744,0.254924342201539,0.739108432626,42.047,0.410210632091394,508.287724022205,1031.20945161511,411.672075633747,619.738123203333,0.413973895792258
"Alabama","Fayette",8332,8815,0.945207033465683,72,176,-2,152.132903304327,16433,42.5,39254,23.5,4.1,123,19.8,0.0811781172031887,2.39,0.215115925272318,17.6,12.9,27.5,0.118541958254731,0.018073388912554,0.00438142761516461,0.187671149516217,0.326355504168442,0.244873121158644,0.818081991215,8.332,0.50702854013266,438.142761516461,1071.01563926246,411.672075633747,619.738123203333,0.413973895792258
"Alabama","Franklin",11921,12665,0.941255428345835,155,220,-5,73.334821286229,31363,37.8,39388,19.2,3.7,164,29.6,0.0425023116411058,2.56,0.169020820712304,23.2,12.9,50,0.0388355705767943,0.177502152217581,0.003411663425055,0.153843701176546,0.321365940758218,0.261486464942767,0.791802593057,11.921,0.380097567197016,494.212926059369,701.463507955234,411.672075633747,619.738123203333,0.413973895792258
"Alabama","Geneva",11873,12600,0.942301587301587,145,129,51,76.0051683514479,26314,42,37823,21.3,3.9,142,10.4,0.0917002356160219,2.43,0.189556889868511,20.9,11.1,46.6,0.0931443338146994,0.0404347495629703,0.00342023257581516,0.177624078437334,0.334650756251425,0.240746370753211,0.854876061412,11.873,0.45120468191837,551.037470547997,490.233335866839,411.672075633747,619.738123203333,0.413973895792258
